n,fold_seed,primary_intercept,nominal_intercept,effective_intercept,clamp_flag,secondary_log,secondary_avoid_log,secondary_avoid_log_failed,shot_clamp_flag,shot_secondary_log,shot_secondary_avoid_log,shot_secondary_avoid_log_failed
3,1001,-0.5554442431389155,-0.5559342017661706,-0.5612710597873489,0,-0.5604563861912952,-0.5603421984812592,0,0,-0.5509984148318255,-0.5510100482867875,0
3,1002,-0.5536696537528273,-0.554223458744142,-0.5593212640902058,0,-0.5584794154223564,-0.5584330736025515,0,0,-0.5731584953234703,-0.57319296043569,0
3,1003,-0.5523847782615793,-0.5529758222019638,-0.5579036752411703,0,-0.5570342644982607,-0.557027866221825,0,0,-0.5729900982577829,-0.5730267948074708,0
3,1004,-0.5569481684552168,-0.5574000711655295,-0.5629339282596345,0,-0.5621752185997526,-0.5620114245139611,0,0,-0.5572810047861788,-0.5568780061448296,0
3,1005,-0.5552878954901815,-0.5558906096563686,-0.5611690812977398,0,-0.5605213515348425,-0.5604906597336136,0,0,-0.5557582090730137,-0.5557288188705424,0
3,1006,-0.5580609434760613,-0.558639578644647,-0.5642652331230654,0,-0.5638087412340224,-0.5637239961346282,0,0,-0.5551629229387007,-0.5553938850886014,0
3,1007,-0.555429159211525,-0.5560022888665083,-0.5613083266681232,0,-0.5606242184191528,-0.5605702248262008,0,0,-0.5571659371178456,-0.5571441012063636,0
4,1000,-0.27531827983296614,-0.27531827983296614,-0.278205156111106,0,-0.27765775951142013,-0.27767819984595066,0,0,-0.2724956273895792,-0.2728993325940848,0
4,1001,-0.2749830841160156,-0.2749830841160156,-0.27787519758864393,0,-0.2773362113896892,-0.2774165865000188,0,0,-0.27568234668213226,-0.27569957262256195,0
4,1002,-0.2773062468013079,-0.2773062468013079,-0.28028609409014626,0,-0.27979772169248296,-0.27960610570120975,0,0,-0.27959852256752993,-0.27847884221191155,0
4,1003,-0.2743921590254568,-0.2743921590254568,-0.27720904363414123,0,-0.2766189159459281,-0.27669725132430095,0,0,-0.2840796117405797,-0.28442350178635584,0
4,1004,-0.277593893352514,-0.277593893352514,-0.2807292668173623,0,-0.28037272064186214,-0.2803360926985205,0,0,-0.2744832515488215,-0.27440896389677544,0
4,1005,-0.27795597984577824,-0.27795597984577824,-0.28108675203017663,0,-0.2807226200886645,-0.2806150912885588,0,0,-0.27096611167748547,-0.2706537933568877,0
4,1006,-0.278245061522839,-0.278245061522839,-0.2815114462412529,0,-0.2812792756575561,-0.2813099137009263,0,0,-0.28544799008378213,-0.28641541710574153,0
4,1007,-0.2760123344039728,-0.2760123344039728,-0.27899127784724476,0,-0.27851144125425414,-0.27853686493561347,0,0,-0.28198268935551923,-0.2817604139123581,0
5,1000,-0.021044315215662822,-0.02113676392365025,-0.020377758050989906,0,-0.02208244635384058,-0.021806452834840968,0,0,-0.02256276628607784,-0.021186581285721467,0
5,1001,-0.01865891409295447,-0.01857678867429939,-0.01753008598874365,0,-0.020897681127760068,-0.020962387499285726,0,0,-0.0230453228044376,-0.023027619689524922,0
5,1002,-0.01695724298082346,-0.016785805772612024,-0.015534844691074844,0,-0.02024268304677047,-0.020497716424803126,0,0,-0.02196560049132308,-0.021908825746005167,0
5,1003,-0.019277003074955272,-0.01925921827490648,-0.018287590811757376,0,-0.02110836211834959,-0.02103493981554109,0,0,-0.014617121890551333,-0.014367167497243812,0
5,1004,-0.01652608345200237,-0.016376739259173035,-0.015075263023361051,0,-0.019950763858777493,-0.020158290242542377,0,0,-0.030702506155532962,-0.03080672800044942,0
5,1005,-0.017638496294802797,-0.017528756277331047,-0.016360287253899392,0,-0.02040779338117216,-0.020528700032504715,0,0,-0.019281166474628814,-0.019680864791318736,0
5,1006,-0.01874291762786942,-0.018651892493823843,-0.01761490448713618,0,-0.02096917189410887,-0.021053716921812432,0,0,-0.022510985239877886,-0.022370876073456284,0
5,1007,-0.016710915235802735,-0.01652286606255392,-0.015242235255332361,0,-0.020173483504255015,-0.02046414580745458,0,0,-0.019765059279203516,-0.020121551212195304,0
6,1000,0.2149906680263682,0.2149906680263682,0.22066353576915215,0,0.23229190448097914,0.23158318001206252,0,0,0.24635305971528776,0.24411679446468937,0
6,1001,0.2142630816294662,0.2142630816294662,0.21998585016713787,0,0.2320816080487149,0.23216509849646816,0,0,0.21425835596677037,0.21425510923770968,0
6,1002,0.21606479747070578,0.21606479747070578,0.2221036691702624,0,0.23643000391306582,0.2370568468221169,0,0,0.2257506657451913,0.22669468994686012,0
6,1003,0.2191942559676249,0.2191942559676249,0.22548705485421183,0,0.241466932864398,0.24114744684335915,0,0,0.2483307366032522,0.24600946734944817,0
6,1004,0.21832609099829522,0.21832609099829522,0.22452607263451882,0,0.23983994778010226,0.23964943973861194,0,0,0.23264736478534567,0.22987584368970362,0
6,1005,0.2148768421871262,0.2148768421871262,0.2206529145122002,0,0.2330620566389858,0.23300076943848888,0,0,0.20465292394395196,0.20471974120737851,0
6,1006,0.21622239328564738,0.21622239328564738,0.22218210044882528,0,0.23582752381133157,0.23583015126562173,0,0,0.24858440749650598,0.247119149284263,0
6,1007,0.22104072000134542,0.22104072000134542,0.22762334265268644,0,0.24597598348338692,0.2460031689394965,0,0,0.24168876479484175,0.24112858002260332,0
7,1000,0.43603284288494076,0.4365541762179595,0.44797923339962903,0,0.47602486308016445,0.4751856120157805,0,0,0.47790016618863357,0.47775888802433847,0
7,1001,0.4295021165268631,0.43003799305438606,0.4407045937848437,0,0.46404963707114233,0.4637862393701924,0,0,0.4783145254385895,0.47937994759256436,0
7,1002,0.4327019068734746,0.43323051221881365,0.4442686668772299,0,0.46984908913903,0.4693174441370306,0,0,0.47077629587220254,0.47077804396568423,0
7,1003,0.4329663021369907,0.4334116581575545,0.44444708695363105,0,0.4692139060403139,0.4680373888927744,0,0,0.45853674830393165,0.45624372159370036,0
7,1004,0.4392937579836092,0.43990142417440875,0.4517430470578669,0,0.48363348096822845,0.48325799421076326,0,0,0.5147044785171198,0.515123422232979,0
7,1005,0.4340027974851584,0.43458976938092864,0.4458037829222691,0,0.4731040104310914,0.47294170808334335,0,0,0.49842504665452847,0.5004591698103926,0
7,1006,0.4303635361712354,0.43097618896377443,0.4417746598523942,0,0.466648620225681,0.46691611695574586,0,0,0.44933093984080646,0.44936761402242714,0
7,1007,0.43674723076835464,0.43728412412218975,0.4487990845220503,0,0.4776165651029098,0.47684571308443185,0,0,0.47713020117573907,0.4763825018519692,0
8,1000,0.5664706081950494,0.5664706081950494,0.5825087688937608,0,0.6234076638067436,0.6239210684746922,0,0,0.6682160170915342,0.6681878526397673,0
8,1001,0.567223992767097,0.567223992767097,0.5833716486042437,0,0.6251251738472049,0.625736675832916,0,0,0.5920234531040461,0.5933169206557901,0
8,1002,0.5689370753560234,0.5689370753560234,0.5852172366239135,0,0.6278668877540001,0.6279023907223891,0,0,0.6510705056951671,0.6481731659083844,0
8,1003,0.569624453402977,0.569624453402977,0.5860230174035256,0,0.6296462621643748,0.6298950332666622,0,0,0.6086825195870581,0.6092669926199596,0
8,1004,0.5750167656742253,0.5750167656742253,0.5920126325294613,0,0.6403597472095776,0.6399637372119036,0,0,0.6461096327752692,0.6479423341537259,0
8,1005,0.5732953619265495,0.5732953619265495,0.5901162767144771,0,0.637077901654063,0.6370095643691863,0,0,0.6474419991656091,0.6465232042817265,0
8,1006,0.5703375249950422,0.5703375249950422,0.5868066829636958,0,0.6309576192972188,0.6310674258523478,0,0,0.6297407741991209,0.6307423746389507,0
8,1007,0.5718363416559472,0.5718363416559472,0.588527828797427,0,0.6345183936851718,0.6348537979627631,0,0,0.6500875333692556,0.6508072993765008,0
9,1000,0.6543800320279691,0.655216576439596,0.6744862216104949,0,0.7393472447049652,0.7394510046774233,0,0,0.7515546272787952,0.749371788084597,0
9,1001,0.652396038306306,0.653206530320594,0.6722253189666058,0,0.7344360406353189,0.7343623953680383,0,0,0.7262479946864896,0.7267922573207737,0
9,1002,0.6560678536299839,0.6569063028836685,0.6763735262912545,0,0.7430929956493638,0.743063406448502,0,0,0.7243696420391754,0.7222757587827509,0
9,1003,0.6544633394886079,0.6553178266677828,0.6746111711702123,0,0.7399564449730038,0.7403061317483745,0,0,0.7302361761023421,0.7368719652174173,0
9,1004,0.6594362441011489,0.660264141391915,0.6801144562580785,0,0.750314166284078,0.7497911032995267,0,0,0.7939368849911913,0.791993760802473,0
9,1005,0.6553652513555169,0.6562090935811347,0.675598903363685,0,0.7416780633818689,0.7417925657389448,0,0,0.7441670952979036,0.7451158138083351,0
9,1006,0.6500835735504004,0.650857066940425,0.6695782840195849,0,0.7286552144038421,0.7282975495164489,0,0,0.6989188199352173,0.6999269760729654,0
9,1007,0.6525319827340151,0.653325957034109,0.6723476324150992,0,0.7343471029564967,0.7340361884869366,0,0,0.7404841457119107,0.7452234390305427,0
10,1000,0.6605714638741095,0.6605714638741095,0.6818805361398016,0,0.7596812066183972,0.7597901315502175,0,0,0.7702476375584613,0.7742814184893825,0
10,1001,0.6654491686868479,0.6654491686868479,0.6873647883878939,0,0.7718786507390004,0.771830513667985,0,0,0.7759894522477386,0.7741582164032698,0
10,1002,0.6583586152298702,0.6583586152298702,0.6795654195594927,0,0.7566978255416419,0.7584750177237954,0,0,0.7405568387842167,0.7412534486446449,0
10,1003,0.6659397801029764,0.6659397801029764,0.6879283463357515,0,0.7733082071049836,0.7733599802393137,0,0,0.7821916069708159,0.7845492396999167,0
10,1004,0.669382046383447,0.669382046383447,0.6917382667038965,0,0.7812324090018757,0.7805478769220741,0,0,0.7932374385872892,0.7974102237810918,0
10,1005,0.6648665743882393,0.6648665743882393,0.686722480528888,0,0.7705926777401427,0.7706884477491532,0,0,0.7557888489753053,0.7551144866524606,0
10,1006,0.6610529693238013,0.6610529693238013,0.6824599103867638,0,0.7614141164811221,0.7618646402436449,0,0,0.7815981680186157,0.7838722600126921,0
10,1007,0.6587821972324112,0.6587821972324112,0.6797514231872385,0,0.7536775758377934,0.7527885691193847,0,0,0.7509833151495902,0.7541307190960269,0
11,1000,0.5914310935970044,0.5921057285411844,0.6118280241928217,0,0.7022977285590833,0.7010962046091496,0,0,0.7058327607016505,0.7038661286220186,0
