n,fold_seed,lambda_nominal,lambda_r,lambda_eff,expectation_dm,cx,sx,x,rz,sxdg
7,1005,2.0,2.0,1.8898973461408937,0.24474626382531933,140,84,3,203,0
7,1006,1.0,1.0,1.0,0.34021545924002244,70,84,3,203,0
7,1006,1.5,1.4857142857142858,1.4322358538398627,0.28928914151874496,104,84,3,203,0
7,1006,2.0,2.0,1.8898973461408937,0.2478701715564412,140,84,3,203,0
7,1007,1.0,1.0,1.0,0.34021545924002244,70,84,3,203,0
7,1007,1.5,1.4857142857142858,1.4322358538398627,0.29032195660141,104,84,3,203,0
7,1007,2.0,2.0,1.8898973461408937,0.24275846001570406,140,84,3,203,0
8,1000,1.0,1.0,1.0,0.43879309590329374,80,96,3,232,0
8,1000,1.5,1.5,1.4451599372535648,0.3661658124827188,120,96,3,232,0
8,1000,2.0,2.0,1.8903198745071295,0.30860457581876755,160,96,3,232,0
8,1001,1.0,1.0,1.0,0.43879309590329374,80,96,3,232,0
8,1001,1.5,1.5,1.4451599372535648,0.36531510230120173,120,96,3,232,0
8,1001,2.0,2.0,1.8903198745071295,0.3077157575622929,160,96,3,232,0
8,1002,1.0,1.0,1.0,0.43879309590329374,80,96,3,232,0
8,1002,1.5,1.5,1.4451599372535648,0.3666897412767838,120,96,3,232,0
8,1002,2.0,2.0,1.8903198745071295,0.30664015505052256,160,96,3,232,0
8,1003,1.0,1.0,1.0,0.43879309590329374,80,96,3,232,0
8,1003,1.5,1.5,1.4451599372535648,0.36538793806228986,120,96,3,232,0
8,1003,2.0,2.0,1.8903198745071295,0.3056790300918497,160,96,3,232,0
8,1004,1.0,1.0,1.0,0.43879309590329374,80,96,3,232,0
8,1004,1.5,1.5,1.4451599372535648,0.36459491700232266,120,96,3,232,0
8,1004,2.0,2.0,1.8903198745071295,0.3008304706993605,160,96,3,232,0
8,1005,1.0,1.0,1.0,0.43879309590329374,80,96,3,232,0
8,1005,1.5,1.5,1.4451599372535648,0.3644012649803676,120,96,3,232,0
8,1005,2.0,2.0,1.8903198745071295,0.3022506304768099,160,96,3,232,0
8,1006,1.0,1.0,1.0,0.43879309590329374,80,96,3,232,0
8,1006,1.5,1.5,1.4451599372535648,0.3655215092098385,120,96,3,232,0
8,1006,2.0,2.0,1.8903198745071295,0.3051059890550933,160,96,3,232,0
8,1007,1.0,1.0,1.0,0.43879309590329374,80,96,3,232,0
8,1007,1.5,1.5,1.4451599372535648,0.36370137009984493,120,96,3,232,0
8,1007,2.0,2.0,1.8903198745071295,0.30330124931431957,160,96,3,232,0
9,1000,1.0,1.0,1.0,0.49414517846655537,90,108,3,261,0
9,1000,1.5,1.488888888888889,1.4354282949780184,0.40365631119052553,134,108,3,261,0
9,1000,2.0,2.0,1.8906487851823106,0.3302300181250836,180,108,3,261,0
9,1001,1.0,1.0,1.0,0.49414517846655537,90,108,3,261,0
9,1001,1.5,1.488888888888889,1.4354282949780184,0.40556130249255967,134,108,3,261,0
9,1001,2.0,2.0,1.8906487851823106,0.33249719802766625,180,108,3,261,0
9,1002,1.0,1.0,1.0,0.49414517846655537,90,108,3,261,0
9,1002,1.5,1.488888888888889,1.4354282949780184,0.4030484307958077,134,108,3,261,0
9,1002,2.0,2.0,1.8906487851823106,0.3286080010602447,180,108,3,261,0
9,1003,1.0,1.0,1.0,0.49414517846655537,90,108,3,261,0
9,1003,1.5,1.488888888888889,1.4354282949780184,0.4027340368345756,134,108,3,261,0
9,1003,2.0,2.0,1.8906487851823106,0.32987972525636594,180,108,3,261,0
9,1004,1.0,1.0,1.0,0.49414517846655537,90,108,3,261,0
9,1004,1.5,1.488888888888889,1.4354282949780184,0.4025528210700038,134,108,3,261,0
9,1004,2.0,2.0,1.8906487851823106,0.32558825098866095,180,108,3,261,0
9,1005,1.0,1.0,1.0,0.49414517846655537,90,108,3,261,0
9,1005,1.5,1.488888888888889,1.4354282949780184,0.40299223983365645,134,108,3,261,0
9,1005,2.0,2.0,1.8906487851823106,0.3291895544732305,180,108,3,261,0
9,1006,1.0,1.0,1.0,0.49414517846655537,90,108,3,261,0
9,1006,1.5,1.488888888888889,1.4354282949780184,0.4081132720790288,134,108,3,261,0
9,1006,2.0,2.0,1.8906487851823106,0.33524015794965945,180,108,3,261,0
9,1007,1.0,1.0,1.0,0.49414517846655537,90,108,3,261,0
9,1007,1.5,1.488888888888889,1.4354282949780184,0.4063457422993286,134,108,3,261,0
9,1007,2.0,2.0,1.8906487851823106,0.3326189579323017,180,108,3,261,0
10,1000,1.0,1.0,1.0,0.48980462659086726,100,120,3,290,0
10,1000,1.5,1.5,1.4454560443738584,0.39300203505825887,150,120,3,290,0
10,1000,2.0,2.0,1.8909120887477169,0.3157751684816287,200,120,3,290,0
10,1001,1.0,1.0,1.0,0.48980462659086726,100,120,3,290,0
10,1001,1.5,1.5,1.4454560443738584,0.39029746718839303,150,120,3,290,0
10,1001,2.0,2.0,1.8909120887477169,0.31082154496503384,200,120,3,290,0
10,1002,1.0,1.0,1.0,0.48980462659086726,100,120,3,290,0
10,1002,1.5,1.5,1.4454560443738584,0.3892867377991543,150,120,3,290,0
10,1002,2.0,2.0,1.8909120887477169,0.3166103823883752,200,120,3,290,0
10,1003,1.0,1.0,1.0,0.48980462659086726,100,120,3,290,0
10,1003,1.5,1.5,1.4454560443738584,0.389684182089348,150,120,3,290,0
10,1003,2.0,2.0,1.8909120887477169,0.31022579658005367,200,120,3,290,0
10,1004,1.0,1.0,1.0,0.48980462659086726,100,120,3,290,0
10,1004,1.5,1.5,1.4454560443738584,0.3895018774380481,150,120,3,290,0
10,1004,2.0,2.0,1.8909120887477169,0.30722319558213623,200,120,3,290,0
10,1005,1.0,1.0,1.0,0.48980462659086726,100,120,3,290,0
10,1005,1.5,1.5,1.4454560443738584,0.3902565495421913,150,120,3,290,0
10,1005,2.0,2.0,1.8909120887477169,0.31130922075064094,200,120,3,290,0
10,1006,1.0,1.0,1.0,0.48980462659086726,100,120,3,290,0
10,1006,1.5,1.5,1.4454560443738584,0.3916490486630468,150,120,3,290,0
10,1006,2.0,2.0,1.8909120887477169,0.31497588198326065,200,120,3,290,0
10,1007,1.0,1.0,1.0,0.48980462659086726,100,120,3,290,0
10,1007,1.5,1.5,1.4454560443738584,0.3973484751545058,150,120,3,290,0
10,1007,2.0,2.0,1.8909120887477169,0.31855066563058326,200,120,3,290,0
11,1000,1.0,1.0,1.0,0.42763037945773297,110,132,3,319,0
11,1000,1.5,1.490909090909091,1.437462657064866,0.33633686226811166,164,132,3,319,0
11,1000,2.0,2.0,1.8911276347617643,0.26056764676059707,220,132,3,319,0
11,1001,1.0,1.0,1.0,0.42763037945773297,110,132,3,319,0
