n,ed_reference,e0_trotter,e_noisy_dm,zne_primary_mean,zne_primary_std,zne_nominal_mean,zne_nominal_std,zne_effective_mean,zne_effective_std,secondary_estimate,secondary_mode,secondary_std,eps_u,eps_m,eps_m_band,if_value,if_is_lower_bound,reportable,shot_baseline_mean,shot_baseline_std,shot_primary_mean,shot_primary_std,shot_primary_sem,shot_nominal_mean,shot_nominal_std,shot_effective_mean,shot_effective_std,shot_secondary_estimate,shot_secondary_mode,shot_secondary_std,shot_eps_u,shot_eps_m,shot_eps_m_band,shot_if_value,shot_if_is_lower_bound,shot_reportable
25,0.1958000268611081,0.08962020217526173,0.012008286952255195,0.018360135617119955,0.000966958877197832,0.018376161422697955,0.0009647193114250587,0.019162769524345244,0.0010669174869645359,0.027511246904448488,log,0.0047393471141603,0.07761191522300653,0.07126006655814178,0.0009669588771978315,1.0891361595864104,0,1,0.012395222981770832,0.002426629534111774,0.01962257227054157,0.00487044065002402,0.0017219608054993003,0.019661797417534724,0.004878030349271964,0.020636563518591198,0.00531149230511832,0.0915001648780124,log,0.08494186497607036,0.0772249791934909,0.06999762990472017,0.00487044065002402,1.103251342918446,0,1
26,0.4280279471371191,0.2951446580765033,0.058750561275491095,0.09780654915258419,0.0006525927286916974,0.09780654915258419,0.0006525927286916974,0.10280085658150508,0.0007241543300716222,0.20061427510126745,log,0.007085958119511996,0.2363940968010122,0.19733810892391912,0.0006525927286916989,1.1979140678405433,0,1,0.05962626139322917,0.006398425309843329,0.10053592258029516,0.013651926725531843,0.004826684981942712,0.10053592258029516,0.013651926725531843,0.10574832936753648,0.014596596512750878,0.22402823886682532,log,0.06028920895102302,0.23551839668327412,0.19460873549620816,0.013651926725531846,1.210214927314314,0,1
27,0.6190966721925228,0.47036828779981016,0.09376898508377912,0.1590402370092944,0.0006486361233297471,0.15886911654693753,0.0006510015628072475,0.16737174461750803,0.0007119864787781454,0.357383934841772,log,0.008646263395362478,0.37659930271603104,0.31132805079051573,0.0006486361233297535,1.2096542594211486,0,1,0.09261067708333333,0.004071102512765934,0.15793540947705942,0.009815407658320537,0.003470270657654411,0.15774027506510419,0.009812267371062588,0.16639559003891677,0.010587493026711355,0.3992881802863369,log,0.09167485598186353,0.37775761071647684,0.31243287832275074,0.009815407658320532,1.2090840526912923,0,1
28,0.7438931985839643,0.590547487201067,0.11477695301991257,0.19631731620552037,0.0006349117604346744,0.19631731620552037,0.0006349117604346744,0.2067457044930629,0.0006988070599735958,0.4674445448642015,log,0.010180362527890275,0.4757705341811544,0.3942301709955466,0.0006349117604346706,1.2068344058489855,0,1,0.11552937825520833,0.00581637758181269,0.19516754150390628,0.013173059161343623,0.004657379730978825,0.19516754150390628,0.013173059161343623,0.20551966985079118,0.014161874599877696,0.4692934659272894,log,0.08947221034063033,0.47501810894585866,0.39537994569716073,0.01317305916134362,1.2014218579252283,0,1
29,0.7854302501243206,0.6467620690616687,0.12152988410167745,0.20972546757026778,0.0007289089904949353,0.2095032487729951,0.0007300543583689855,0.22101438046428715,0.0008071794143833181,0.530803935859859,log,0.013611711708254245,0.5252321849599912,0.4370366014914009,0.0007289089904949506,1.2018036548143112,0,1,0.1218719482421875,0.005286199499384712,0.20897176304170345,0.011753365631031019,0.00415544226973347,0.20875718858506953,0.01175266429003127,0.22009365275242057,0.012559284748866542,0.5057686300897716,log,0.0704769608547978,0.5248901208194812,0.4377903060199652,0.011753365631031036,1.1989532742087345,0,1
30,0.737680837882801,0.6267442887447146,0.11534213506165042,0.20031194432916238,0.0005051144646639546,0.20031194432916238,0.0005051144646639546,0.21121966171041,0.0005538626423858263,0.5374131431391355,log,0.008629154817581825,0.5114021536830642,0.42643234441555217,0.0005051144646639508,1.1992574212070324,0,1,0.11341349283854167,0.0032772047635229854,0.19897376166449662,0.00792943182315227,0.002803477506553689,0.19897376166449662,0.00792943182315227,0.2098527983826663,0.00853342330494976,0.5518225657052056,log,0.08365303251289316,0.5133307959061729,0.4277705270802179,0.007929431823152268,1.2000144082154363,0,1
31,0.6083668248015981,0.5420783578720523,0.09906982450300048,0.17332893901299465,0.0006377351849817926,0.17314847524108845,0.0006417349766092104,0.18286081343918364,0.0006872680848096139,0.4912703166375427,log,0.007307145343813394,0.44300853336905177,0.36874941885905765,0.00063773518498179,1.2013809668900854,0,1,0.09984334309895833,0.0034315570083922648,0.17425606830611806,0.0075509525994580185,0.0026696648937474766,0.1740553114149306,0.007539961401603363,0.18392435651336025,0.008147144761055629,0.5352746385853318,log,0.11644427488553823,0.44223501477309396,0.3678222895659342,0.007550952599458008,1.2023061878467831,0,1
32,0.4216300724613059,0.39649575386823016,0.07501914177249637,0.13192820763655433,0.0007204828057834934,0.13192820763655433,0.0007204828057834934,0.1392493959832653,0.0007950989827242211,0.39550465350675335,log,0.019623340769759343,0.3214766120957338,0.26456754623167583,0.0007204828057834939,1.215102217466325,0,1,0.07557169596354167,0.005882731314151807,0.13507588704427087,0.010170040896785104,0.003595652441530632,0.13507588704427087,0.010170040896785104,0.14261630837838726,0.010896838512379745,0.4283669519394273,log,0.09345522608542876,0.3209240579046885,0.2614198668239593,0.0101700408967851,1.2276192387505096,0,1
33,0.19521247127206015,0.20746207971178343,0.04667310632186511,0.0824594937443944,0.000764944908278056,0.08237681849882868,0.000760696887031452,0.0870570010630985,0.0008790380633365802,0.2573279578912454,log,0.030136194787193763,0.16078897338991832,0.12500258596738903,0.0007649449082780543,1.2862851767871852,0,1,0.0461883544921875,0.003235050640409872,0.08086240899736614,0.009260920591664307,0.0032742298751979823,0.08076985677083336,0.009270899053342604,0.08539462637234183,0.009904389816893986,0.2683494313056557,log,0.09044608369135945,0.16127372521959593,0.1265996707144173,0.009260920591664305,1.2738873988337311,0,1
34,-0.03933113453455119,0.016167481596780137,0.01858323622676154,0.03279671228308257,0.0005553105823701243,0.03279671228308257,0.0005553105823701243,0.034614707308959776,0.0006171094950722004,0.09899338577372682,log,0.01244147341756805,0.002415754629981403,0.016629230686302433,0.0005553105823701243,0.14527158084175656,0,0,0.018519083658854164,0.007439931497618012,0.03219689263237848,0.012370124126981689,0.004373499327154036,0.03219689263237848,0.012370124126981689,0.03393087611778209,0.013120756606904902,,avoid_log_failed,,0.0023516020620740277,0.016029411035598344,0.012297002720381891,0.14670545641705465,0,0
35,-0.2627476630378454,-0.18884407280732612,-0.008720754494314887,-0.015606315210590253,0.0004959970201973531,-0.015585817702959491,0.000495083127635219,-0.01652691239584187,0.0005591144620478722,-0.0958535089863236,log,0.05209768534453746,0.18012331831301123,0.17323775759673588,0.0004959970201973547,1.0397463047998095,0,1,-0.010060628255208334,0.004993350114139976,-0.017057213852533462,0.009141863677499307,0.003232136899521374,-0.017026265462239586,0.009120951867309162,-0.01805957923917631,0.009782352220307216,,avoid_log_failed,,0.17878344455211778,0.17178685895479268,0.009141863677499303,1.0407282934206645,0,1
36,-0.4612332902276049,-0.37035240108794487,-0.03173149342876273,-0.05686852939142412,0.00025636211392597325,-0.05686852939142412,0.00025636211392597325,-0.06015162586829422,0.0002762431476710061,-0.23005659541869478,log,0.013006364151499339,0.3386209076591821,0.31348387169652076,0.0002563621139259699,1.0801860581427174,0,1,-0.029917399088541668,0.0034262455313579035,-0.05184597439236112,0.010555521964774236,0.003731940580127706,-0.05184597439236112,0.010555521964774236,-0.054770464322830274,0.0114708690945673,-0.3860895477526625,avoid_log,0.5092171015108129,0.3404350019994032,0.31850642669558377,0.010555521964774243,1.0688481407779502,0,1
37,-0.606863461712959,-0.4959806053689486,-0.048013841586578884,-0.08627175572393378,0.0001782290637466109,-0.08618359427371486,0.0001774736849597566,-0.0912482085470927,0.00020458191002658673,-0.3469922974341002,log,0.014314345336063131,0.4479667637823697,0.40970884964501486,0.0001782290637466121,1.0933782957593001,0,1,-0.04380289713541667,0.007662807383738487,-0.07854676175123992,0.017651362243219358,0.006240698969680298,-0.07848103841145836,0.017621833526586077,-0.08296587957829968,0.019042891804865257,-0.3225737945912299,avoid_log,0.23798390899683874,0.4521777082335319,0.4174338436177087,0.01765136224321936,1.0832320262169306,0,1
38,-0.6872896809208118,-0.5895762706842184,-0.058882459693854215,-0.10578211838564333,0.0002442626415090294,-0.10578211838564333,0.0002442626415090294,-0.11189457046463572,0.00027013463694479785,-0.43230699918034055,log,0.014836753701014444,0.5306938109903642,0.48379415229857503,0.0002442626415090341,1.0969413509215897,0,1,-0.05779520670572917,0.004873451463413984,-0.10360887315538198,0.009513126946243386,0.0033633982869885853,-0.10360887315538198,0.009513126946243386,-0.10957804915494736,0.010252994179064442,-0.44579149845190635,log,0.17901929798006203,0.5317810639784892,0.4859673975288364,0.009513126946243384,1.0942731275443933,0,1
39,-0.6917597522155953,-0.603634183183561,-0.06204008533385564,-0.11182918255398996,0.0001978603177923131,-0.11171909670997177,0.0001992253691376113,-0.11831257462750086,0.00021089174430577936,-0.4722489640439025,log,0.010019633584434686,0.5415940978497054,0.491805000629571,0.00019786031779231504,1.1012374765535085,0,1,-0.066650390625,0.005138427626938914,-0.12093770860830083,0.009723003384668423,0.0034376008133993976,-0.12082248263888891,0.009705284777304457,-0.12797144130562438,0.010429520701789395,-0.543144982272194,log,0.1806856119536706,0.536983792558561,0.48269647457526016,0.00972300338466841,1.1124667795244827,0,1
40,-0.6122777932338337,-0.5408534031938856,-0.058145396078093534,-0.10485404767601847,0.0001511911560985318,-0.10485404767601847,0.0001511911560985318,-0.11094482569792498,0.00016602875925877277,-0.45145789403810815,log,0.01063197294394461,0.4827080071157921,0.43599935551786717,0.00015119115609852303,1.107130093214119,0,1,-0.0615692138671875,0.004612564772036531,-0.11068132188585073,0.009802744681769547,0.0034657936193598056,-0.11068132188585073,0.009802744681769547,-0.11719574662442475,0.01052944810706827,-0.5792314475084276,log,0.24751778732788945,0.47928418932669814,0.4301720813080349,0.009802744681769553,1.1141685157003374,0,1
