n,fold_seed,lambda_nominal,expectation_shot,seed_simulator
6,1004,1.5,0.147216796875,9641
6,1004,2.0,0.11482747395833333,9642
6,1005,1.0,0.16141764322916666,9650
6,1005,1.5,0.14290364583333334,9651
6,1005,2.0,0.12723795572916666,9652
6,1006,1.0,0.16776529947916666,9660
6,1006,1.5,0.14278157552083334,9661
6,1006,2.0,0.11376953125,9662
6,1007,1.0,0.16556803385416666,9670
6,1007,1.5,0.13899739583333334,9671
6,1007,2.0,0.1136474609375,9672
7,1000,1.0,0.3424886067708333,9700
7,1000,1.5,0.29052734375,9701
7,1000,2.0,0.24552408854166666,9702
7,1001,1.0,0.3489990234375,9710
7,1001,1.5,0.2933756510416667,9711
7,1001,2.0,0.2539876302083333,9712
7,1002,1.0,0.3414713541666667,9720
7,1002,1.5,0.2908121744791667,9721
7,1002,2.0,0.2476806640625,9722
7,1003,1.0,0.3363850911458333,9730
7,1003,1.5,0.2993977864583333,9731
7,1003,2.0,0.2484130859375,9732
7,1004,1.0,0.3489990234375,9740
7,1004,1.5,0.2860107421875,9741
7,1004,2.0,0.23649088541666666,9742
7,1005,1.0,0.3485107421875,9750
7,1005,1.5,0.2840576171875,9751
7,1005,2.0,0.2427978515625,9752
7,1006,1.0,0.3349609375,9760
7,1006,1.5,0.2890218098958333,9761
7,1006,2.0,0.24967447916666666,9762
7,1007,1.0,0.3420003255208333,9770
7,1007,1.5,0.292724609375,9771
7,1007,2.0,0.24556477864583334,9772
8,1000,1.0,0.4474283854166667,9800
8,1000,1.5,0.3662109375,9801
8,1000,2.0,0.2996012369791667,9802
8,1001,1.0,0.4329427083333333,9810
8,1001,1.5,0.3644205729166667,9811
8,1001,2.0,0.3157958984375,9812
8,1002,1.0,0.440673828125,9820
8,1002,1.5,0.3723551432291667,9821
8,1002,2.0,0.2993570963541667,9822
8,1003,1.0,0.435302734375,9830
8,1003,1.5,0.36572265625,9831
8,1003,2.0,0.3109944661458333,9832
8,1004,1.0,0.444091796875,9840
8,1004,1.5,0.3619384765625,9841
8,1004,2.0,0.3045247395833333,9842
8,1005,1.0,0.4395751953125,9850
8,1005,1.5,0.3652750651041667,9851
8,1005,2.0,0.2987874348958333,9852
8,1006,1.0,0.439697265625,9860
8,1006,1.5,0.3637288411458333,9861
8,1006,2.0,0.3065592447916667,9862
8,1007,1.0,0.440673828125,9870
8,1007,1.5,0.3604736328125,9871
8,1007,2.0,0.2984619140625,9872
9,1000,1.0,0.4927164713541667,9900
9,1000,1.5,0.4053548177083333,9901
9,1000,2.0,0.3236490885416667,9902
9,1001,1.0,0.4901123046875,9910
9,1001,1.5,0.40087890625,9911
9,1001,2.0,0.33056640625,9912
9,1002,1.0,0.49169921875,9920
9,1002,1.5,0.4121907552083333,9921
9,1002,2.0,0.3345540364583333,9922
9,1003,1.0,0.4990234375,9930
9,1003,1.5,0.3914794921875,9931
9,1003,2.0,0.3387044270833333,9932
9,1004,1.0,0.5017496744791666,9940
9,1004,1.5,0.40380859375,9941
9,1004,2.0,0.3175048828125,9942
9,1005,1.0,0.4945475260416667,9950
9,1005,1.5,0.4003092447916667,9951
9,1005,2.0,0.328369140625,9952
9,1006,1.0,0.49072265625,9960
9,1006,1.5,0.4073893229166667,9961
9,1006,2.0,0.3440755208333333,9962
9,1007,1.0,0.4988606770833333,9970
9,1007,1.5,0.3949788411458333,9971
9,1007,2.0,0.3345540364583333,9972
10,1000,1.0,0.4935709635416667,10000
10,1000,1.5,0.3848470052083333,10001
10,1000,2.0,0.3153889973958333,10002
10,1001,1.0,0.491455078125,10010
10,1001,1.5,0.3957926432291667,10011
10,1001,2.0,0.3116455078125,10012
10,1002,1.0,0.4860432942708333,10020
